taxonomy,concept,canonical_metric,item_id,statement_type,industry_template
us-gaap,AccountsPayableCurrent,ap,1203,balance_sheet,ALL
us-gaap,AccountsReceivableNetCurrent,ar,1106,balance_sheet,ALL
us-gaap,AccruedLiabilitiesCurrent,accrued_liabilities,1204,balance_sheet,ALL
us-gaap,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,accumulated_depreciation,1112,balance_sheet,ALL
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,aoci,1218,balance_sheet,ALL
us-gaap,AdditionalPaidInCapital,apic,1216,balance_sheet,ALL
us-gaap,AdditionalPaidInCapitalCommonStock,apic,1216,balance_sheet,ALL
us-gaap,Assets,total_assets,1101,balance_sheet,ALL
us-gaap,AssetsCurrent,current_assets,1102,balance_sheet,ALL
us-gaap,Cash,cash,1104,balance_sheet,ALL
us-gaap,CashAndCashEquivalentsAtCarryingValue,cash_st_inv,1103,balance_sheet,ALL
us-gaap,CommercialPaper,st_debt,1205,balance_sheet,ALL
us-gaap,CommonStockValue,common_stock_par,1215,balance_sheet,ALL
us-gaap,CommonStocksIncludingAdditionalPaidInCapital,common_stock_and_apic,1216,balance_sheet,ALL
us-gaap,DebtCurrent,current_portion_lt_debt,1206,balance_sheet,ALL
us-gaap,DeferredIncomeTaxAssetsNet,deferred_tax_assets,1118,balance_sheet,ALL
us-gaap,DeferredIncomeTaxLiabilitiesNet,deferred_tax_liabilities,1211,balance_sheet,ALL
us-gaap,DeferredRevenue,deferred_revenue,1210,balance_sheet,ALL
us-gaap,EquityMethodInvestments,lt_investments,1117,balance_sheet,ALL
us-gaap,Goodwill,goodwill,1114,balance_sheet,ALL
us-gaap,IntangibleAssetsNetExcludingGoodwill,intangibles_other,1115,balance_sheet,ALL
us-gaap,InventoryNet,inventory,1107,balance_sheet,ALL
us-gaap,Liabilities,total_liabilities,1201,balance_sheet,ALL
us-gaap,LiabilitiesAndStockholdersEquity,liab_and_equity,1223,balance_sheet,ALL
us-gaap,LiabilitiesCurrent,current_liabilities,1202,balance_sheet,ALL
us-gaap,LongTermDebtCurrent,st_debt,1205,balance_sheet,ALL
us-gaap,LongTermDebtNoncurrent,lt_debt,1207,balance_sheet,ALL
us-gaap,LongTermInvestments,lt_investments,1117,balance_sheet,ALL
us-gaap,MarketableSecuritiesCurrent,st_investments,1105,balance_sheet,ALL
us-gaap,MinorityInterest,minority_int_bs,1213,balance_sheet,ALL
