formula_code,family,kind,unit,numerator_code,denominator_code,numerator_item_ids,denominator_item_ids,inputs,transform,expression,is_meaningful_rule,definition,citation,valid_from,valid_to
net_profit_margin,profitability,ratio,ratio,net_income,revenue,[1031],[1001],"[""ni"", ""rev""]",divide,key:ni|key:rev,,Net income divided by revenue.,,1900-01-01,
operating_margin,profitability,ratio,ratio,operating_income,revenue,[1014],[1001],"[""oi"", ""rev""]",divide,key:oi|key:rev,,Operating income divided by revenue.,,1900-01-01,
return_on_assets,profitability,ratio,ratio,net_income,assets,[1031],[1101],"[""ni"", ""assets""]",divide,key:ni|key:assets,,Net income divided by total assets.,,1900-01-01,
return_on_equity,profitability,ratio,ratio,net_income,stockholders_equity,[1031],[1221],"[""ni"", ""equity""]",divide,key:ni|key:equity,require_positive_denominator,Net income divided by stockholders' equity.,,1900-01-01,
assets_to_equity,leverage,ratio,ratio,assets,stockholders_equity,[1101],[1221],"[""assets"", ""equity""]",divide,key:assets|key:equity,require_positive_denominator,Total assets divided by stockholders' equity (equity multiplier).,,1900-01-01,
liabilities_to_assets,leverage,ratio,ratio,liabilities,assets,[1201],[1101],"[""liabilities"", ""assets""]",divide,key:liabilities|key:assets,,Total liabilities divided by total assets.,,1900-01-01,
liabilities_to_equity,leverage,ratio,ratio,liabilities,stockholders_equity,[1201],[1221],"[""liabilities"", ""equity""]",divide,key:liabilities|key:equity,require_positive_denominator,Total liabilities divided by stockholders' equity.,,1900-01-01,
free_cash_flow,cash_flow,level,currency,operating_cash_flow,capital_expenditures,[1301],[1305],"[""ocf"", ""capex""]",sum,key:ocf|key:capex,,Operating cash flow plus capital expenditures (capex is signed negative).,,1900-01-01,
fcf_margin,cash_flow,ratio,ratio,free_cash_flow,revenue,"[1301, 1305]",[1001],"[""ocf"", ""capex"", ""rev""]",divide,"sum:ocf,capex|key:rev",,Free cash flow (operating cash flow plus signed capex) divided by revenue.,,1900-01-01,
operating_cash_flow_to_net_income,cash_flow,ratio,ratio,operating_cash_flow,net_income,[1301],[1031],"[""ocf"", ""ni""]",divide,key:ocf|key:ni,require_positive_denominator,Operating cash flow divided by net income (cash conversion / quality of earnings).,,1900-01-01,
capex_to_revenue,cash_flow,ratio,ratio,abs_capital_expenditures,revenue,[1305],[1001],"[""capex"", ""rev""]",divide,abs:capex|key:rev,,Absolute capital expenditures divided by revenue.,,1900-01-01,
dividend_payout_ratio,payout,ratio,ratio,abs_dividends_paid,net_income,[1318],[1031],"[""div"", ""ni""]",divide,abs:div|key:ni,require_positive_denominator,Absolute dividends paid divided by net income.,,1900-01-01,
buyback_to_net_income,payout,ratio,ratio,abs_share_repurchases,net_income,[1312],[1031],"[""repurch"", ""ni""]",divide,abs:repurch|key:ni,require_positive_denominator,Absolute share repurchases divided by net income.,,1900-01-01,
total_payout_ratio,payout,ratio,ratio,abs_dividends_plus_repurchases,net_income,"[1312, 1318]",[1031],"[""div"", ""repurch"", ""ni""]",divide,"abs_sum:div,repurch|key:ni",require_positive_denominator,"Absolute dividends paid plus absolute share repurchases, divided by net income.",,1900-01-01,
book_value_per_share,per_share,per_share,currency_per_share,stockholders_equity,shares_outstanding,[1221],[1039],"[""equity"", ""shares""]",divide,key:equity|key:shares,,Stockholders' equity divided by shares outstanding.,,1900-01-01,
asset_turnover,efficiency,ratio,ratio,revenue,assets,[1001],[1101],"[""rev"", ""assets""]",divide,key:rev|key:assets,,Revenue divided by total assets.,,1900-01-01,
equity_turnover,efficiency,ratio,ratio,revenue,stockholders_equity,[1001],[1221],"[""rev"", ""equity""]",divide,key:rev|key:equity,require_positive_denominator,Revenue divided by stockholders' equity.,,1900-01-01,
fixed_asset_turnover,efficiency,ratio,ratio,revenue,property_plant_equipment_net,[1001],[1110],"[""rev"", ""property_plant_equipment_net""]",divide,key:rev|key:property_plant_equipment_net,require_positive_denominator,"Revenue divided by net property, plant & equipment.",,1900-01-01,
receivables_turnover,efficiency,ratio,ratio,revenue,accounts_receivable,[1001],[1106],"[""rev"", ""accounts_receivable""]",divide,key:rev|key:accounts_receivable,require_positive_denominator,Revenue divided by accounts receivable.,,1900-01-01,
ppe_to_assets,efficiency,ratio,ratio,property_plant_equipment_net,assets,[1110],[1101],"[""property_plant_equipment_net"", ""assets""]",divide,key:property_plant_equipment_net|key:assets,require_positive_denominator,"Net property, plant & equipment divided by total assets.",,1900-01-01,
operating_return_on_assets,profitability,ratio,ratio,operating_income,assets,[1014],[1101],"[""oi"", ""assets""]",divide,key:oi|key:assets,,Operating income divided by total assets.,,1900-01-01,
operating_cash_flow_margin,cash_flow,ratio,ratio,operating_cash_flow,revenue,[1301],[1001],"[""ocf"", ""rev""]",divide,key:ocf|key:rev,,Operating cash flow divided by revenue.,,1900-01-01,
operating_cash_flow_to_assets,cash_flow,ratio,ratio,operating_cash_flow,assets,[1301],[1101],"[""ocf"", ""assets""]",divide,key:ocf|key:assets,,Operating cash flow divided by total assets.,,1900-01-01,
operating_cash_flow_to_liabilities,cash_flow,ratio,ratio,operating_cash_flow,liabilities,[1301],[1201],"[""ocf"", ""liabilities""]",divide,key:ocf|key:liabilities,require_positive_denominator,Operating cash flow divided by total liabilities.,,1900-01-01,
capex_to_operating_cash_flow,cash_flow,ratio,ratio,abs_capital_expenditures,operating_cash_flow,[1305],[1301],"[""capex"", ""ocf""]",divide,abs:capex|key:ocf,require_positive_denominator,Absolute capital expenditures divided by operating cash flow.,,1900-01-01,
retention_ratio,payout,ratio,ratio,net_income_minus_dividends,net_income,[1031],[1031],"[""ni"", ""div""]",divide,"diff_abs:ni,div|key:ni",require_positive_denominator,"Net income minus absolute dividends paid, divided by net income.",,1900-01-01,
revenue_growth_yoy,growth,growth,ratio,revenue,revenue_prior_year,[1001],[1001],"[""rev"", ""rev_prior""]",pct_change,key:rev|key:rev_prior,require_positive_denominator,Year-over-year percentage change in revenue.,,1900-01-01,
net_income_growth_yoy,growth,growth,ratio,net_income,net_income_prior_year,[1031],[1031],"[""ni"", ""ni_prior""]",pct_change,key:ni|key:ni_prior,require_positive_denominator,Year-over-year percentage change in net income.,,1900-01-01,
operating_income_growth_yoy,growth,growth,ratio,operating_income,operating_income_prior_year,[1014],[1014],"[""oi"", ""oi_prior""]",pct_change,key:oi|key:oi_prior,require_positive_denominator,Year-over-year percentage change in operating income.,,1900-01-01,
