rule_id,item_id,canonical_code,basis,source_aliases_json,source_item_ids_json,combination_rule,sign_rule,scale_rule,missing_policy,is_active,valid_from,valid_to
std_annual_1001,1001,revenue,annual,"[{""alias_code"":""RevenueFromContractWithCustomerExcludingAssessedTax"",""alias_scheme"":""us-gaap"",""priority"":10},{""alias_code"":""Revenues"",""alias_scheme"":""us-gaap"",""priority"":20},{""alias_code"":""SalesRevenueNet"",""alias_scheme"":""us-gaap"",""priority"":30}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1001,1001,revenue,ttm,"[{""alias_code"":""RevenueFromContractWithCustomerExcludingAssessedTax"",""alias_scheme"":""us-gaap"",""priority"":10},{""alias_code"":""Revenues"",""alias_scheme"":""us-gaap"",""priority"":20},{""alias_code"":""SalesRevenueNet"",""alias_scheme"":""us-gaap"",""priority"":30}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1002,1002,sales_legacy,annual,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1002,1002,sales_legacy,ttm,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1003,1003,cost_of_revenue_cogs,annual,"[{""alias_code"":""CostOfGoodsAndServicesSold"",""alias_scheme"":""us-gaap"",""priority"":10},{""alias_code"":""CostOfRevenue"",""alias_scheme"":""us-gaap"",""priority"":20},{""alias_code"":""CostOfGoodsSold"",""alias_scheme"":""us-gaap"",""priority"":30}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1003,1003,cost_of_revenue_cogs,ttm,"[{""alias_code"":""CostOfGoodsAndServicesSold"",""alias_scheme"":""us-gaap"",""priority"":10},{""alias_code"":""CostOfRevenue"",""alias_scheme"":""us-gaap"",""priority"":20},{""alias_code"":""CostOfGoodsSold"",""alias_scheme"":""us-gaap"",""priority"":30}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1004,1004,gross_profit__1004,annual,"[{""alias_code"":""GrossProfit"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1004,1004,gross_profit__1004,ttm,"[{""alias_code"":""GrossProfit"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1005,1005,sg_and_a,annual,"[{""alias_code"":""SellingGeneralAndAdministrativeExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1005,1005,sg_and_a,ttm,"[{""alias_code"":""SellingGeneralAndAdministrativeExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1006,1006,selling_expense_only,annual,"[{""alias_code"":""SellingAndMarketingExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1006,1006,selling_expense_only,ttm,"[{""alias_code"":""SellingAndMarketingExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1007,1007,g_and_a_expense_only,annual,"[{""alias_code"":""GeneralAndAdministrativeExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1007,1007,g_and_a_expense_only,ttm,"[{""alias_code"":""GeneralAndAdministrativeExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1008,1008,r_and_d_expense,annual,"[{""alias_code"":""ResearchAndDevelopmentExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1008,1008,r_and_d_expense,ttm,"[{""alias_code"":""ResearchAndDevelopmentExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1009,1009,advertising,annual,"[{""alias_code"":""AdvertisingExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1009,1009,advertising,ttm,"[{""alias_code"":""AdvertisingExpense"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1010,1010,operating_expenses_total,annual,"[{""alias_code"":""OperatingExpenses"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1010,1010,operating_expenses_total,ttm,"[{""alias_code"":""OperatingExpenses"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1011,1011,d_and_a_income_statement,annual,"[{""alias_code"":""DepreciationAndAmortization"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1011,1011,d_and_a_income_statement,ttm,"[{""alias_code"":""DepreciationAndAmortization"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1012,1012,depreciation_only,annual,"[{""alias_code"":""Depreciation"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1012,1012,depreciation_only,ttm,"[{""alias_code"":""Depreciation"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1013,1013,amortization_of_intangibles,annual,"[{""alias_code"":""AmortizationOfIntangibleAssets"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1013,1013,amortization_of_intangibles,ttm,"[{""alias_code"":""AmortizationOfIntangibleAssets"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1014,1014,operating_income,annual,"[{""alias_code"":""OperatingIncomeLoss"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1014,1014,operating_income,ttm,"[{""alias_code"":""OperatingIncomeLoss"",""alias_scheme"":""us-gaap"",""priority"":10}]",[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1015,1015,operating_income_before_d_and_a_ebitda_ish,annual,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1015,1015,operating_income_before_d_and_a_ebitda_ish,ttm,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1016,1016,ebitda_standardised,annual,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1016,1016,ebitda_standardised,ttm,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_annual_1017,1017,ebit__1017,annual,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
std_ttm_1017,1017,ebit__1017,ttm,[],[],coalesce_priority,statement_normalized,identity,skip,true,1900-01-01,
