symbol,input,status,error,effective_preset,curve_kind,primary_curve_kind,resolved_config,used_fallback,scored_quotes,market_in_band_fraction,market_worst_in_band_fraction,market_reduced_chi_square,market_vol_rmse,market_bid_misses,market_ask_misses,market_max_price_error,calendar_violations,calendar_arb_free,validation_mask,admission_mask,arbitrage_mask,valued_options,fast_candidate_quotes,fast_representative_routes,fast_cold_fallbacks,fast_vs_cold_scored,fast_vs_cold_failures,fast_vs_cold_greek_scored,fast_vs_cold_greek_failures,fast_vs_cold_price_error_p50,fast_vs_cold_price_error_p95,fast_vs_cold_price_error_max,fast_vs_cold_delta_error_p50,fast_vs_cold_delta_error_p95,fast_vs_cold_delta_error_max,fast_vs_cold_gamma_error_p50,fast_vs_cold_gamma_error_p95,fast_vs_cold_gamma_error_max,fast_vs_cold_theta_error_p50,fast_vs_cold_theta_error_p95,fast_vs_cold_theta_error_max,fast_vs_cold_vega_error_p50,fast_vs_cold_vega_error_p95,fast_vs_cold_vega_error_max,fast_vs_cold_price_sign_flips,fast_vs_cold_delta_sign_flips,fast_vs_cold_theta_sign_flips,fast_vs_cold_vega_sign_flips,fast_negative_prices,fast_vs_cold_half_spread_passes,fast_vs_cold_half_tick_passes,fast_vs_cold_economic_gate_passes,fast_vs_cold_half_spread_pass_fraction,fast_vs_cold_half_tick_pass_fraction,fast_vs_cold_economic_gate_fraction,fast_representative_route_fraction,fast_screen_safe_fraction,fast_gate_option_tick,fast_gate_half_tick,fast_gate_vega_fraction,fast_point_limit,fast_greek_sample_limit,mode,full_chain_valuation,fast_sample_coverage_fraction
AAOI,universe/AAOI/2026-07-01.parquet,ok,,robust,c8-event,c8-event,curve=c8-event;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,228,1,1,0.012234881980006449,0.0043938739888743509,0,0,0,0,1,0,0,0,1610,1527,965,562,64,0,64,0,4.2632564145606011e-14,0.051607240943923216,0.14068516312528345,5.0175059973511793e-07,0.0012669234595982792,0.0037071866536804166,8.4318628433555087e-09,0.00053643907518943908,0.0014264391963040553,0.0047767418630826342,0.25024467771478953,5.0340162921538365,7.7699936866792996e-06,0.22997698303932879,0.98138044390121593,0,0,0,1,0,64,44,33,1,0.6875,0.515625,0.63195808775376561,0.021611001964636542,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.066321243523316059
AAPL,universe/AAPL/2026-07-01.parquet,ok,,fast,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1333,0.61985762160667135,0.19047619047619047,2.2081615496603599,0.051316829786528885,352,158,0.29335404564487,12,0,0,0,32,3446,3056,2582,474,64,0,64,0,5.6843418860808015e-14,0.3981241306533434,1.2771510089571336,6.9343604401624157e-06,0.012843062843442721,0.024145921265417591,4.1153139938854277e-07,0.0018260509414150365,0.0034913918145265733,0.0051491224990121154,11.088370158832026,148.54680996853426,0.00027247302402955142,3.0819378142111731,7.2130483828567122,0,0,2,6,0,64,41,35,1,0.640625,0.546875,0.84489528795811519,0.011452879581151832,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.024786986831913247
ADBE,universe/ADBE/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,698,0.98245150027810768,0.8571428571428571,0.29782731810036023,0.056962664453027577,9,2,0.11833194240626344,53,0,0,0,32,2114,1755,1469,286,64,0,64,0,2.369275009343752e-05,0.35065156151426891,3.8360628446142755,4.4682098219450683e-06,0.0061389283367254688,0.012789849961394872,3.693557459293062e-07,0.0021602676855037879,0.0045759516661936818,0.0021159599626114911,4.1210948892456747,10.39496901391564,0.00018721092566664765,2.4390009850524166,12.875173529729175,0,0,3,3,0,64,45,31,1,0.703125,0.484375,0.83703703703703702,0.017663817663817662,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.043567052416609936
ADI,universe/ADI/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,565,0.95688790205975149,0.51063829787234039,0.20146234801811541,0.017868010597991396,23,3,2.1965277334441708,63,0,0,0,32,1760,1445,1232,213,64,0,64,0,0.00018448614159805032,0.1395936235876718,0.44219391716342216,2.1851745374792952e-05,0.0032840959974861361,0.007978506631906912,4.7159997019693978e-07,0.00013549384396292492,0.00031337531803488203,0.0085461606319228167,1.1516971471288144,1.9703330581607261,0.0032871049753566695,1.2842920993299032,4.1268798311745343,0,0,0,0,0,64,46,30,1,0.71875,0.46875,0.85259515570934252,0.020761245674740483,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.051948051948051951
ALAB,universe/ALAB/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1435,0.91921698958000719,0.52564102564102566,0.26559294314615917,0.055089070778955626,10,106,4.8779070917145662,68,0,0,0,32,3338,3104,2102,1002,64,0,64,0,0.00049015282645470393,0.0305180592627039,0.16219131216010396,1.2315762033497657e-05,0.00088442241886399486,0.0017817368232483297,2.9436103250865195e-07,4.7105846321854371e-05,0.00043416407864106172,0.0094228301574617035,0.42295136366931274,1.964283722986913,0.0055618560147472351,0.81445100573046147,1.9524882969172666,0,0,0,0,0,64,43,31,1,0.671875,0.484375,0.67719072164948457,0.0099871134020618549,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.030447193149381543
AMAT,universe/AMAT/2026-07-01.parquet,ok,,robust,c8-event,c8-event,curve=c8-event;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,844,0.96560945224777939,0.72549019607843135,0.2043088132211337,0.011279466066996681,26,2,2.1769198215352552,0,1,0,0,0,3532,3403,2286,1117,64,0,64,0,7.9767821508952563e-05,0.077652687947022514,0.25833877272805239,3.5046534206106816e-06,0.0023102489681786492,0.0036168109007344573,5.7556199399393104e-08,8.1842389358101363e-05,0.00038782399529200574,0.041894233222478761,0.33835772943228903,1.1639811112079883,0.0005275425666686484,0.6909781669281756,2.5604962735288268,0,0,0,0,0,64,44,30,1,0.6875,0.46875,0.67176021157801935,0.0088157508081104907,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.02799650043744532
AMD,universe/AMD/2026-07-01.parquet,ok,,fast,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,2451,0.89984272977803104,0.59130434782608698,0.44727837674116389,0.047316662030192393,81,160,0.81085235027958191,41,0,0,0,32,5548,5225,3536,1689,64,0,64,0,4.4528318419251312e-05,0.29880433471967649,0.55798002281824211,2.6204787414996211e-06,0.0030021690396398459,0.0056106181154760293,3.7363071553331295e-08,0.00013297424632976508,0.00031859474955591702,0.0053687661934418429,4.8894493565004957,34.740140360091118,0.00028209951240576459,2.8298157953562679,9.9413486790919592,0,0,1,1,0,64,39,30,1,0.609375,0.46875,0.67674641148325354,0.0057416267942583732,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.018099547511312219
AMZN,universe/AMZN/2026-07-01.parquet,ok,,fast,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,991,0.89689027752025507,0.56000000000000005,0.65894953873398998,0.036632542625521604,68,30,0.11865176988140735,41,0,0,0,32,2412,2197,2057,140,64,0,64,0,2.8421709430404007e-14,0.30155565741323187,0.52303037887429582,1.1321982807843689e-05,0.0082529122399028765,0.016380387901542726,5.7011196433198741e-07,0.001199598365215486,0.0015157984671946242,0.0095307694183475178,3.2603862875226546,14.013687939169444,9.5876161358976475e-05,1.067170867895328,1.8462883463407564,0,0,2,4,0,64,43,32,1,0.671875,0.5,0.93627674101046887,0.01456531634046427,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.031113271754982984
ANET,universe/ANET/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,511,0.99131220034445844,0.93548387096774188,0.12238186206824375,0.031497103339296471,4,1,0.10592013117206278,30,0,0,0,32,1254,1138,993,145,64,0,64,0,0.0017661889086211247,0.28179033715703383,0.55008893382506585,9.7537407644066043e-05,0.0049125810814914517,0.0077327854255545558,9.8559196474268078e-06,0.00034007989540260446,0.0020001475860551101,0.037705463711812826,1.7355631401175569,162.97664110258006,0.014945523556894713,0.5071973381004824,1.3998934875902052,0,0,0,0,0,64,40,16,1,0.625,0.25,0.87258347978910367,0.014059753954305799,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.064451158106747231
APH,universe/APH/2026-07-01.parquet,ok,,fast,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,277,1,1,0.030477647248898405,0.0097612693752028631,0,0,0,22,0,0,0,32,648,601,541,60,64,0,64,0,0.0014717715435694778,0.0988357849354351,0.48646469093435485,0.00017965244669876368,0.0021127405228473783,0.0031701891127968174,1.11574393893768e-05,0.00017482870825130149,0.00085691749125937217,0.015946459633866539,0.28277058767153385,0.39166928862949035,0.011406039626514541,0.35163313000541052,1.3260095752398797,0,0,0,0,0,64,39,18,1,0.609375,0.28125,0.90016638935108151,0.029950083194675542,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.11829944547134935
