# vrp_panel --splits reference: split/reverse-split price factors.
# price_factor multiplies every session STRICTLY BEFORE ex_date
# (0.1 for a 10:1 forward split). Columns after price_factor are
# provenance and are IGNORED by load_vrp_split_factors.
# band=price_factor <= 0.8 or >= 1.25
# band_source=atx-db split_policy: included_factors 'split_factor <= 0.8 or >= 1.25', excluded 'small dividend adjustment factors' (src/atx_db/earnings_acceleration.py:123,:284; earnings_surprise.py:164)
# corroboration=0.75 <= (prev_close/close)*price_factor <= 1.33333
# n_declared=39
# n_events=38
# n_rejected=1
# n_symbols_scanned=102
# n_uncorroborated=1
# source_table=atx-db equity_daily_bars.split_factor (vendor factor, copied unchanged)
# window=min..max
# REJECTED V 2015-02-11 price_factor=0.249546 residual=0.24819502349712394 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
symbol	ex_date	price_factor	close	prev_close	implied_ratio	residual	uncorroborated
AAPL	2014-06-09	0.142857	93.7	645.57	6.8897545357524015	0.9842496637139809	0
AAPL	2020-08-31	0.25	129.04	499.23	3.868800371977682	0.9672000929944204	0
ABT	2013-01-02	0.46687	32.02	65.09	2.032792004996877	0.9490496033728919	0
AMZN	2022-06-06	0.05	124.79	2447.0	19.60894302428079	0.9804471512140396	0
AVGO	2024-07-15	0.1	171.42	1700.67	9.921071053552678	0.9921071053552679	0
BKNG	2026-04-06	0.04	176.19	4194.31	23.805607582723198	0.9522243033089279	0
CL	2013-05-16	0.5	62.38	124.55	1.9966335363898684	0.9983167681949342	0
CMCSA	2017-02-21	0.5	37.89	75.99	2.0055423594615993	1.0027711797307997	0
COP	2012-05-01	0.764484	56.49	71.65	1.2683660824924765	0.9696455762081785	0
CRM	2013-04-18	0.25	41.03	167.35	4.078722885693395	1.0196807214233488	0
DUK	2012-07-03	3.0	68.69	23.29	0.33905954287378076	1.0171786286213422	0
GE	2021-08-02	8.0	100.6	12.95	0.12872763419483102	1.0298210735586482	0
GE	2023-01-04	0.787676	70.2	84.98	1.2105413105413105	0.9535143373219374	0
GE	2024-04-02	0.796347	136.47	175.36	1.2849710559097238	1.023282845460541	0
GILD	2013-01-28	0.5	39.4	79.19	2.0098984771573605	1.0049492385786802	0
GOOG	2022-07-18	0.05	109.91	2255.34	20.519879901737788	1.0259939950868895	0
GOOGL	2014-04-03	0.497974	571.5				1
GOOGL	2022-07-18	0.05	109.03	2235.55	20.50398972759791	1.0251994863798957	0
ISRG	2017-10-06	0.333333	361.47	1089.68	3.0145793565164465	1.0048587806456966	0
ISRG	2021-10-05	0.333333	330.07	970.5	2.940285394007332	0.9800941512406459	0
KO	2012-08-13	0.5	39.3	78.82	2.0055979643765904	1.0027989821882952	0
MA	2014-01-22	0.1	83.3	818.48	9.825690276110445	0.9825690276110445	0
NEE	2020-10-27	0.25	75.78	302.65	3.993797835840591	0.9984494589601477	0
NFLX	2015-07-15	0.142857	98.13	702.6	7.1598899419137885	1.0228403974319782	0
NFLX	2025-11-17	0.1	110.29	1112.17	10.08405113790915	1.008405113790915	0
NKE	2012-12-26	0.5	51.26	105.6	2.060085836909871	1.0300429184549356	0
NKE	2015-12-24	0.5	63.18	128.71	2.037195314973093	1.0185976574865465	0
NOW	2025-12-18	0.2	153.38	782.39	5.100991002738297	1.0201982005476595	0
NVDA	2021-07-20	0.25	186.12	751.19	4.036052009456265	1.0090130023640662	0
NVDA	2024-06-10	0.1	121.79	1208.88	9.925938090155185	0.9925938090155185	0
RTX	2020-04-03	0.585804	49.93	86.01	1.7226116563188465	1.0091127987182056	0
SBUX	2015-04-09	0.5	47.96	95.23	1.9856130108423686	0.9928065054211843	0
T	2022-04-11	0.758734	19.63	24.14	1.229750382068263	0.9330534263881815	0
TSLA	2020-08-31	0.2	498.32	2213.4	4.441724193289453	0.8883448386578906	0
TSLA	2022-08-25	0.333333	296.07	891.29	3.0104029452494343	1.0034666449488296	0
UNP	2014-06-09	0.5	102.14	201.86	1.9763070295672607	0.9881535147836303	0
V	2015-03-19	0.25	66.81	267.67	4.00643616225116	1.00160904056279	0
WMT	2024-02-26	0.333333	59.6	175.56	2.9456375838926174	0.9818782127516779	0
