# vrp_panel --splits reference: split/reverse-split price factors.
# price_factor multiplies every session STRICTLY BEFORE ex_date
# (0.1 for a 10:1 forward split). Columns after price_factor are
# provenance and are IGNORED by load_vrp_split_factors.
# band=price_factor <= 0.8 or >= 1.25
# band_source=atx-db split_policy: included_factors 'split_factor <= 0.8 or >= 1.25', excluded 'small dividend adjustment factors' (src/atx_db/earnings_acceleration.py:123,:284; earnings_surprise.py:164)
# corroboration=0.75 <= (prev_close/close)*price_factor <= 1.33333
# n_declared=200
# n_events=192
# n_rejected=8
# n_symbols_scanned=616
# n_uncorroborated=1
# source_table=atx-db equity_daily_bars.split_factor (vendor factor, copied unchanged)
# window=min..max
# REJECTED AMC 2023-08-24 price_factor=10.0 residual=1.3639526791927628 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED FCEL 2019-05-09 price_factor=12.0 residual=1.4992682926829268 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED GEN 2020-02-03 price_factor=0.577762 residual=0.050870006997084556 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED JCI 2012-10-01 price_factor=0.49393 residual=0.4800555617977528 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED KNX 2017-09-11 price_factor=1.38889 residual=1.394008759213759 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED RIOT 2012-06-20 price_factor=6.0 residual=1.5353846153846153 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED V 2015-02-11 price_factor=0.249546 residual=0.24819502349712394 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
# REJECTED VFC 2013-12-06 price_factor=0.248873 residual=0.24826565483580942 — declared factor is not corroborated by the close step (announcement-date artifact); excluded from the data rows.
symbol	ex_date	price_factor	close	prev_close	implied_ratio	residual	uncorroborated
A	2014-11-03	0.723137	40.84	55.28	1.3535749265426051	0.9788201116552399	0
AAPL	2014-06-09	0.142857	93.7	645.57	6.8897545357524015	0.9842496637139809	0
AAPL	2020-08-31	0.25	129.04	499.23	3.868800371977682	0.9672000929944204	0
ABT	2013-01-02	0.46687	32.02	65.09	2.032792004996877	0.9490496033728919	0
ACI	2022-10-21	0.750909	21.08	27.5	1.3045540796963948	0.9796013994307402	0
AFL	2018-03-19	0.5	44.7	90.49	2.0243847874720355	1.0121923937360178	0
ALK	2014-07-10	0.5	49.01	96.86	1.9763313609467457	0.9881656804733728	0
AMC	2022-08-22	0.614317	10.46	18.02	1.7227533460803057	1.0583166673040152	0
AMCR	2026-01-15	5.0	44.16	8.82	0.19972826086956524	0.9986413043478262	0
AMZN	2022-06-06	0.05	124.79	2447.0	19.60894302428079	0.9804471512140396	0
ANET	2021-11-18	0.25	132.55	528.32	3.9858166729536024	0.9964541682384006	0
ANET	2024-12-04	0.25	105.43	414.46	3.931139144456037	0.9827847861140092	0
APH	2014-10-10	0.5	45.7	98.68	2.1592997811816192	1.0796498905908096	0
APH	2021-03-05	0.5	61.56	120.08	1.9506172839506173	0.9753086419753086	0
APH	2024-06-12	0.5	68.69	134.43	1.9570534284466445	0.9785267142233223	0
AVGO	2024-07-15	0.1	171.42	1700.67	9.921071053552678	0.9921071053552679	0
BAH	2012-09-04	0.64597	12.03	18.24	1.5162094763092269	0.9794258354114713	0
BALL	2017-05-17	0.5	39.98	80.81	2.0212606303151577	1.0106303151575788	0
BAX	2015-07-01	0.54383	38.86	69.93	1.799536798764797	0.9786420972722596	0
BBWI	2021-08-03	0.7998	66.0	79.92	1.210909090909091	0.9684850909090909	0
BDX	2026-02-10	0.786064	171.68	207.39	1.208003261882572	0.949567876048462	0
BEN	2013-07-26	0.333333	48.66	143.95	2.958281956432388	0.9860929993834772	0
