effective_date	symbol	raw_weight	source	as_of
2026-07-26	SPY	100.0	curated-sp100-static	2026-07-26
2026-07-26	NVDA	101.0	curated-sp100-static	2026-07-26
2026-07-26	MSFT	100.0	curated-sp100-static	2026-07-26
2026-07-26	AAPL	99.0	curated-sp100-static	2026-07-26
2026-07-26	AMZN	98.0	curated-sp100-static	2026-07-26
2026-07-26	GOOGL	97.0	curated-sp100-static	2026-07-26
2026-07-26	GOOG	96.0	curated-sp100-static	2026-07-26
2026-07-26	META	95.0	curated-sp100-static	2026-07-26
2026-07-26	AVGO	94.0	curated-sp100-static	2026-07-26
2026-07-26	TSLA	93.0	curated-sp100-static	2026-07-26
2026-07-26	BRK.B	92.0	curated-sp100-static	2026-07-26
2026-07-26	LLY	91.0	curated-sp100-static	2026-07-26
2026-07-26	WMT	90.0	curated-sp100-static	2026-07-26
2026-07-26	JPM	89.0	curated-sp100-static	2026-07-26
2026-07-26	V	88.0	curated-sp100-static	2026-07-26
2026-07-26	XOM	87.0	curated-sp100-static	2026-07-26
2026-07-26	UNH	86.0	curated-sp100-static	2026-07-26
2026-07-26	ORCL	85.0	curated-sp100-static	2026-07-26
2026-07-26	MA	84.0	curated-sp100-static	2026-07-26
2026-07-26	COST	83.0	curated-sp100-static	2026-07-26
2026-07-26	HD	82.0	curated-sp100-static	2026-07-26
2026-07-26	PG	81.0	curated-sp100-static	2026-07-26
2026-07-26	NFLX	80.0	curated-sp100-static	2026-07-26
2026-07-26	JNJ	79.0	curated-sp100-static	2026-07-26
2026-07-26	ABBV	78.0	curated-sp100-static	2026-07-26
2026-07-26	BAC	77.0	curated-sp100-static	2026-07-26
2026-07-26	CRM	76.0	curated-sp100-static	2026-07-26
2026-07-26	KO	75.0	curated-sp100-static	2026-07-26
2026-07-26	CVX	74.0	curated-sp100-static	2026-07-26
2026-07-26	AMD	73.0	curated-sp100-static	2026-07-26
2026-07-26	PLTR	72.0	curated-sp100-static	2026-07-26
2026-07-26	TMUS	71.0	curated-sp100-static	2026-07-26
2026-07-26	CSCO	70.0	curated-sp100-static	2026-07-26
2026-07-26	WFC	69.0	curated-sp100-static	2026-07-26
2026-07-26	IBM	68.0	curated-sp100-static	2026-07-26
2026-07-26	ACN	67.0	curated-sp100-static	2026-07-26
2026-07-26	PM	66.0	curated-sp100-static	2026-07-26
2026-07-26	MRK	65.0	curated-sp100-static	2026-07-26
2026-07-26	GE	64.0	curated-sp100-static	2026-07-26
2026-07-26	LIN	63.0	curated-sp100-static	2026-07-26
2026-07-26	ABT	62.0	curated-sp100-static	2026-07-26
2026-07-26	NOW	61.0	curated-sp100-static	2026-07-26
2026-07-26	MCD	60.0	curated-sp100-static	2026-07-26
2026-07-26	ISRG	59.0	curated-sp100-static	2026-07-26
2026-07-26	PEP	58.0	curated-sp100-static	2026-07-26
2026-07-26	INTU	57.0	curated-sp100-static	2026-07-26
2026-07-26	QCOM	56.0	curated-sp100-static	2026-07-26
2026-07-26	DIS	55.0	curated-sp100-static	2026-07-26
2026-07-26	GS	54.0	curated-sp100-static	2026-07-26
2026-07-26	TXN	53.0	curated-sp100-static	2026-07-26
2026-07-26	CAT	52.0	curated-sp100-static	2026-07-26
2026-07-26	BKNG	51.0	curated-sp100-static	2026-07-26
2026-07-26	VZ	50.0	curated-sp100-static	2026-07-26
2026-07-26	AXP	49.0	curated-sp100-static	2026-07-26
2026-07-26	RTX	48.0	curated-sp100-static	2026-07-26
2026-07-26	T	47.0	curated-sp100-static	2026-07-26
2026-07-26	MS	46.0	curated-sp100-static	2026-07-26
2026-07-26	UBER	45.0	curated-sp100-static	2026-07-26
2026-07-26	AMGN	44.0	curated-sp100-static	2026-07-26
2026-07-26	PFE	43.0	curated-sp100-static	2026-07-26
2026-07-26	UNP	42.0	curated-sp100-static	2026-07-26
2026-07-26	NEE	41.0	curated-sp100-static	2026-07-26
2026-07-26	LOW	40.0	curated-sp100-static	2026-07-26
2026-07-26	SCHW	39.0	curated-sp100-static	2026-07-26
2026-07-26	CMCSA	38.0	curated-sp100-static	2026-07-26
2026-07-26	BLK	37.0	curated-sp100-static	2026-07-26
2026-07-26	SPGI	36.0	curated-sp100-static	2026-07-26
