cusip	name	ticker
67066G104	NVIDIA Corp	NVDA
037833100	Apple Inc	AAPL
594918104	Microsoft Corp	MSFT
023135106	Amazon.com Inc	AMZN
02079K305	Alphabet Inc	GOOGL
11135F101	Broadcom Inc	AVGO
02079K107	Alphabet Inc	GOOG
30303M102	Meta Platforms Inc	META
88160R101	Tesla Inc	TSLA
084670702	Berkshire Hathaway Inc	BRK.B
46625H100	JPMorgan Chase & Co	JPM
532457108	Eli Lilly & Co	LLY
92826C839	Visa Inc	V
30231G102	Exxon Mobil Corp	XOM
478160104	Johnson & Johnson	JNJ
931142103	Walmart Inc	WMT
57636Q104	Mastercard Inc	MA
69608A108	Palantir Technologies Inc	PLTR
00287Y109	AbbVie Inc	ABBV
64110L106	Netflix Inc	NFLX
22160K105	Costco Wholesale Corp	COST
060505104	Bank of America Corp	BAC
007903107	Advanced Micro Devices Inc	AMD
437076102	Home Depot Inc/The	HD
742718109	Procter & Gamble Co/The	PG
68389X105	Oracle Corp	ORCL
369604301	General Electric Co	GE
595112103	Micron Technology Inc	MU
17275R102	Cisco Systems Inc	CSCO
91324P102	UnitedHealth Group Inc	UNH
949746101	Wells Fargo & Co	WFC
166764100	Chevron Corp	CVX
459200101	International Business Machines Corp	IBM
191216100	Coca-Cola Co/The	KO
149123101	Caterpillar Inc	CAT
38141G104	Goldman Sachs Group Inc/The	GS
58933Y105	Merck & Co Inc	MRK
79466L302	Salesforce Inc	CRM
718172109	Philip Morris International Inc	PM
75513E101	RTX Corp	RTX
002824100	Abbott Laboratories	ABT
883556102	Thermo Fisher Scientific Inc	TMO
580135101	McDonald's Corp	MCD
512807306	Lam Research Corp	LRCX
617446448	Morgan Stanley	MS
172967424	Citigroup Inc	C
038222105	Applied Materials Inc	AMAT
254687106	Walt Disney Co/The	DIS
46120E602	Intuitive Surgical Inc	ISRG
000000000	Linde PLC	LIN
